timestamp,accX_l,accY_l,accZ_l,gyrX_l,gyrY_l,gyrZ_l,accX_r,accY_r,accZ_r,gyrX_r,gyrY_r,gyrZ_r
172.0,24.28,-4.51,-113.52,0.0,0.01,0.01,24.51,-7.54,-114.16,-0.05,-0.07,0.0
181.9,25.38,-4.49,-113.44,0.0,0.01,0.01,24.87,-7.55,-114.2,-0.05,-0.07,0.0
191.8,26.49,-4.46,-113.36,0.0,0.01,0.01,25.23,-7.56,-114.25,-0.05,-0.07,0.0
201.7,25.93,-4.28,-113.28,-0.0,0.01,0.01,25.43,-7.34,-114.24,-0.05,-0.07,0.0
211.6,25.33,-4.1,-113.19,-0.01,0.01,0.01,25.63,-7.12,-114.23,-0.05,-0.06,0.0
221.49,24.89,-4.23,-113.28,-0.01,0.01,0.01,25.62,-7.32,-113.77,-0.05,-0.05,-0.0
231.39,24.45,-4.38,-113.37,-0.0,0.02,0.01,25.59,-7.55,-113.29,-0.05,-0.03,-0.01
241.29,25.13,-4.48,-113.32,0.0,0.02,0.01,25.91,-7.49,-113.6,-0.05,-0.04,-0.01
251.19,25.88,-4.57,-113.26,0.0,0.01,0.01,26.24,-7.43,-113.96,-0.05,-0.06,-0.0
261.09,25.77,-4.46,-113.21,0.0,0.01,0.01,25.5,-7.17,-114.02,-0.05,-0.06,0.0
270.99,25.59,-4.33,-113.16,0.0,0.01,0.01,24.67,-6.91,-114.06,-0.05,-0.07,0.0
280.89,25.29,-4.53,-113.24,0.0,0.01,0.01,24.75,-7.14,-113.97,-0.05,-0.07,0.0
290.79,24.97,-4.76,-113.35,0.0,0.01,0.01,24.94,-7.43,-113.86,-0.05,-0.06,0.0
300.69,25.37,-4.59,-113.42,0.0,0.01,0.01,24.76,-7.44,-114.11,-0.05,-0.06,0.0
310.59,25.87,-4.37,-113.49,0.0,0.01,0.01,24.54,-7.4,-114.42,-0.05,-0.07,0.0
320.48,26.04,-4.12,-113.8,0.0,0.01,0.01,24.54,-7.56,-114.63,-0.05,-0.07,0.0
330.38,26.16,-3.87,-114.14,0.0,0.0,0.01,24.57,-7.74,-114.83,-0.05,-0.07,0.0
340.28,25.55,-4.18,-114.12,0.0,0.0,0.01,24.55,-7.49,-114.54,-0.05,-0.07,0.0
350.18,24.79,-4.59,-114.03,0.0,0.01,0.01,24.52,-7.15,-114.15,-0.05,-0.06,0.0
360.08,25.32,-4.4,-113.71,0.0,0.01,0.01,24.49,-7.2,-114.21,-0.05,-0.06,0.0
369.98,26.13,-4.08,-113.34,0.0,0.01,0.01,24.47,-7.32,-114.38,-0.05,-0.06,0.0
379.88,25.74,-3.97,-113.39,0.0,0.01,0.02,24.53,-7.28,-114.37,-0.05,-0.06,0.0
389.78,25.05,-3.93,-113.55,0.0,0.01,0.02,24.61,-7.2,-114.31,-0.05,-0.07,0.0
399.68,24.62,-4.3,-113.47,0.0,0.01,0.02,24.69,-7.29,-114.38,-0.05,-0.07,0.0
409.58,24.27,-4.79,-113.33,0.0,0.01,0.02,24.77,-7.43,-114.48,-0.05,-0.06,0.0
419.47,24.78,-4.62,-113.71,0.0,0.01,0.01,24.78,-7.53,-114.34,-0.05,-0.06,0.0
429.37,25.57,-4.23,-114.26,0.0,0.01,0.01,24.77,-7.61,-114.12,-0.05,-0.06,0.0
439.27,25.68,-4.31,-113.49,0.0,0.01,0.01,24.57,-7.83,-114.0,-0.05,-0.06,0.0
449.17,25.54,-4.56,-112.24,0.0,0.01,0.01,24.29,-8.11,-113.92,-0.05,-0.06,0.0
459.07,25.08,-4.68,-112.55,0.0,0.01,0.01,24.33,-8.1,-113.95,-0.05,-0.06,0.0
468.97,24.48,-4.75,-113.49,0.0,0.01,0.01,24.51,-7.98,-114.02,-0.05,-0.06,0.0
478.87,24.91,-4.48,-113.64,0.0,0.01,0.02,24.77,-7.81,-113.98,-0.05,-0.06,0.0
488.77,25.8,-4.06,-113.44,0.0,0.01,0.02,25.07,-7.62,-113.9,-0.05,-0.07,0.0
498.67,25.8,-3.99,-113.22,0.0,0.01,0.02,25.0,-7.66,-114.0,-0.05,-0.07,0.0
508.57,25.37,-4.09,-112.97,0.0,0.01,0.02,24.74,-7.82,-114.2,-0.05,-0.06,0.0
518.46,25.0,-4.43,-112.9,0.0,0.01,0.02,24.5,-7.84,-114.15,-0.05,-0.06,0.0
528.36,24.66,-4.9,-112.91,0.0,0.01,0.02,24.27,-7.79,-113.97,-0.05,-0.07,0.0
538.26,25.13,-4.73,-113.19,0.0,0.01,0.02,24.46,-7.75,-114.05,-0.05,-0.07,0.0
548.16,26.08,-4.2,-113.63,0.0,0.01,0.02,24.91,-7.73,-114.28,-0.05,-0.06,0.0
558.06,25.92,-4.07,-113.32,0.0,0.01,0.02,24.9,-7.62,-114.49,-0.05,-0.06,0.0
567.96,25.07,-4.2,-112.53,0.0,0.01,0.02,24.59,-7.46,-114.69,-0.05,-0.06,0.0
577.86,24.7,-4.5,-112.22,0.0,0.01,0.02,24.44,-7.4,-114.58,-0.05,-0.06,0.0
587.76,24.66,-4.94,-112.23,0.0,0.01,0.02,24.39,-7.4,-114.25,-0.05,-0.07,0.0
597.66,25.11,-4.76,-112.63,0.0,0.01,0.02,24.37,-7.59,-114.17,-0.05,-0.07,0.0
607.56,25.91,-4.12,-113.33,0.0,0.01,0.02,24.37,-7.93,-114.27,-0.05,-0.06,0.0
617.45,25.83,-3.85,-113.24,0.0,0.01,0.02,24.49,-7.79,-114.19,-0.05,-0.06,0.0
627.35,25.03,-3.9,-112.52,0.0,0.01,0.02,24.72,-7.25,-113.96,-0.05,-0.07,0.0
637.25,24.67,-4.25,-112.31,0.0,0.01,0.02,24.69,-7.09,-113.85,-0.05,-0.07,0.0
647.15,24.7,-4.88,-112.56,0.0,0.01,0.02,24.44,-7.27,-113.85,-0.05,-0.06,0.0
657.05,25.1,-4.92,-112.9,0.0,0.01,0.02,24.43,-7.56,-114.14,-0.05,-0.06,0.0
666.95,25.85,-4.4,-113.32,0.0,0.01,0.02,24.64,-7.96,-114.71,-0.05,-0.07,0.0
676.85,26.09,-4.24,-113.29,0.0,0.01,0.02,24.96,-7.98,-114.93,-0.05,-0.07,0.0
686.75,25.81,-4.48,-112.77,0.0,0.01,0.02,25.39,-7.58,-114.78,-0.05,-0.07,0.0
