timestamp,accX_l,accY_l,accZ_l,gyrX_l,gyrY_l,gyrZ_l,accX_r,accY_r,accZ_r,gyrX_r,gyrY_r,gyrZ_r
171.0,25.43,-4.41,-113.1,0.0,0.01,0.01,24.51,-6.97,-114.7,-0.05,-0.06,0.0
180.9,26.16,-4.18,-113.08,0.0,0.01,0.01,24.87,-7.19,-114.25,-0.05,-0.06,0.0
190.8,26.9,-3.94,-113.05,0.0,0.01,0.01,25.23,-7.42,-113.81,-0.05,-0.07,0.0
200.7,26.49,-4.33,-113.55,0.0,0.01,0.01,24.81,-7.33,-114.08,-0.05,-0.07,0.0
210.6,26.06,-4.72,-114.06,0.0,0.01,0.01,24.37,-7.23,-114.36,-0.05,-0.07,0.0
220.49,26.47,-4.74,-113.4,0.0,0.01,0.01,24.48,-7.33,-114.61,-0.05,-0.07,0.0
230.39,26.92,-4.74,-112.69,0.0,0.01,0.01,24.62,-7.43,-114.86,-0.05,-0.06,0.0
240.29,27.03,-4.46,-112.91,0.0,0.01,0.01,24.41,-7.22,-114.86,-0.05,-0.06,0.0
250.19,27.11,-4.15,-113.2,0.0,0.01,0.01,24.18,-6.99,-114.84,-0.05,-0.06,0.0
260.09,26.16,-4.56,-112.87,0.0,0.01,0.02,24.32,-7.14,-114.6,-0.05,-0.06,0.0
269.99,25.12,-5.02,-112.5,0.0,0.01,0.02,24.49,-7.33,-114.35,-0.05,-0.07,0.0
279.89,25.31,-4.84,-112.82,0.0,0.01,0.02,24.68,-7.45,-114.48,-0.05,-0.07,0.0
289.79,25.65,-4.58,-113.21,0.0,0.01,0.01,24.87,-7.57,-114.65,-0.06,-0.06,0.0
299.69,26.2,-4.4,-113.3,0.0,0.01,0.02,24.84,-7.45,-114.92,-0.06,-0.06,0.0
309.59,26.78,-4.22,-113.35,0.0,0.01,0.02,24.78,-7.3,-115.2,-0.05,-0.06,0.0
319.48,26.03,-4.46,-113.39,0.0,0.01,0.02,24.9,-6.9,-114.95,-0.05,-0.06,0.0
329.38,25.07,-4.76,-113.42,0.0,0.0,0.01,25.05,-6.46,-114.61,-0.05,-0.06,0.0
339.28,25.01,-4.46,-113.46,0.0,0.0,0.01,24.86,-6.9,-114.37,-0.05,-0.06,0.0
349.18,25.13,-4.05,-113.49,0.0,0.01,0.01,24.61,-7.5,-114.15,-0.05,-0.06,0.0
359.08,26.0,-4.05,-113.58,0.0,0.01,0.01,24.56,-7.69,-114.59,-0.05,-0.06,0.0
368.98,27.05,-4.16,-113.69,0.0,0.02,0.01,24.56,-7.8,-115.19,-0.05,-0.06,0.0
378.88,26.6,-4.48,-113.54,0.0,0.02,0.01,24.59,-7.75,-115.35,-0.05,-0.06,0.0
388.78,25.78,-4.85,-113.34,0.0,0.01,0.01,24.62,-7.67,-115.39,-0.05,-0.07,0.0
398.68,25.66,-5.08,-113.29,0.0,0.01,0.01,24.78,-7.26,-115.04,-0.05,-0.07,0.0
408.58,25.74,-5.26,-113.29,0.0,0.01,0.01,24.96,-6.76,-114.57,-0.05,-0.06,0.0
418.47,26.28,-4.86,-113.04,0.0,0.01,0.01,24.9,-6.97,-114.31,-0.05,-0.06,0.0
428.37,26.96,-4.27,-112.7,0.0,0.02,0.01,24.76,-7.4,-114.11,-0.05,-0.06,0.0
438.27,26.47,-4.12,-112.79,0.0,0.02,0.01,24.9,-7.31,-114.15,-0.05,-0.06,0.0
448.17,25.55,-4.13,-113.03,0.0,0.01,0.01,25.15,-7.03,-114.28,-0.05,-0.07,0.0
458.07,25.33,-4.31,-113.28,0.0,0.01,0.01,24.82,-7.05,-114.29,-0.05,-0.07,0.0
467.97,25.38,-4.55,-113.54,0.0,0.01,0.01,24.26,-7.19,-114.24,-0.05,-0.06,0.0
477.87,25.81,-4.59,-113.21,0.0,0.01,0.01,24.14,-7.27,-114.21,-0.05,-0.06,0.0
487.77,26.39,-4.53,-112.61,0.0,0.01,0.01,24.22,-7.33,-114.17,-0.05,-0.06,0.0
497.67,26.27,-4.38,-112.77,0.0,0.01,0.02,24.29,-7.26,-113.95,-0.05,-0.06,0.0
507.57,25.8,-4.18,-113.29,0.0,0.01,0.02,24.35,-7.12,-113.63,-0.05,-0.06,0.0
517.46,25.46,-4.35,-113.51,0.0,0.01,0.02,24.35,-7.12,-113.85,-0.05,-0.06,0.0
527.36,25.18,-4.71,-113.57,0.0,0.01,0.02,24.31,-7.2,-114.35,-0.05,-0.07,0.0
537.26,25.65,-4.64,-113.27,0.0,0.01,0.02,24.46,-7.2,-114.55,-0.05,-0.07,0.0
547.16,26.56,-4.32,-112.76,0.0,0.01,0.02,24.72,-7.16,-114.59,-0.05,-0.06,0.0
